0.000000000000000000e+00,0.000000000000000000e+00,5.200000000000000178e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000222e-01,-6.999999999999999556e-01,2.999999999999999889e-01,0.000000000000000000e+00,4.000000000000000222e-01,-6.999999999999999556e-01,2.999999999999999889e-01
4.222090858303324747e-04,9.702599089612235720e-05,5.220112906833230815e-01,-2.830253122792086851e-03,1.219422051743256595e-02,1.002979071796424200e-04,9.999216372264193575e-01,-6.704980162021510065e-03,4.496017668970764825e-01,-7.348551470736457425e-01,3.096472762868945350e-01,-6.480348854462277333e-03,4.459160440150654603e-01,-7.278719887448775738e-01,3.063328381583959592e-01
8.933136987505702802e-04,2.054949201387366560e-04,5.240111056005001267e-01,-5.660062672614899100e-03,2.438652988898232926e-02,2.005800951149029404e-04,9.996865611871258439e-01,-1.340996032404302013e-02,4.992035337941529427e-01,-7.697102941472915294e-01,3.192945525737890256e-01,-1.296069770892455467e-02,4.918320880301308429e-01,-7.557439774897551921e-01,3.126656763167919295e-01
1.413016363664949294e-03,3.253480549806992903e-04,5.259981911885004413e-01,-8.488985146018378919e-03,3.657501726829188310e-02,3.008308470250069689e-04,9.992948087245406841e-01,-2.011494048606452673e-02,5.488053006912293474e-01,-8.045654412209373163e-01,3.289418288606835716e-01,-1.944104656338683026e-02,5.377481320451962254e-01,-7.836159662346326993e-01,3.189985144751879553e-01
1.980989140446282482e-03,4.565195261710961253e-04,5.279713018640254107e-01,-1.131657717858000622e-02,4.875777240800762552e-02,4.010344510560080104e-04,9.987464412362825339e-01,-2.681992064808604026e-02,5.984070675883058632e-01,-8.394205882945831032e-01,3.385891051475781177e-01,-2.592139541784910933e-02,5.836641760602616635e-01,-8.114879549795103175e-01,3.253313526335839256e-01
2.596873829514248500e-03,5.989363692471921753e-04,5.299292008043359203e-01,-1.414239561439132632e-02,6.093288595916435818e-02,5.011752027432367753e-04,9.980415446655462874e-01,-3.352490081010754686e-02,6.480088344853822679e-01,-8.742757353682288901e-01,3.482363814344726083e-01,-3.240174427231138493e-02,6.295802200753271016e-01,-8.393599437243879358e-01,3.316641907919798959e-01
3.849117808645085778e-03,6.121726534879884602e-04,5.303485442737009281e-01,-1.662836490113184587e-02,8.866784559522644660e-02,1.662566276334030832e-03,9.959210543570170548e-01,-3.985351446945317039e-02,6.978801872552446994e-01,-8.333050709874352258e-01,3.130790421230105758e-01,-3.851027416129082503e-02,6.744559935198602973e-01,-7.914895229690618317e-01,2.946235947854043968e-01
5.122719957442493748e-03,6.296184750756894828e-04,5.306975032077844157e-01,-1.910134322229315590e-02,1.163335331809721290e-01,2.822658464472320005e-03,9.930224974007026972e-01,-4.618212812879879392e-02,7.477515400251071309e-01,-7.923344066066415614e-01,2.779217028115485433e-01,-4.461880405027027208e-02,7.193317669643934931e-01,-7.436191022137357276e-01,2.575829987788288977e-01
6.413723799165604866e-03,6.509611730037668338e-04,5.309749787881339333e-01,-2.155939855530781060e-02,1.439083348056357514e-01,3.980545441264101043e-03,9.893481383038997823e-01,-5.251074178814441051e-02,7.976228927949695624e-01,-7.513637422258480081e-01,2.427643635000865108e-01,-5.072733393924971218e-02,7.642075404089265778e-01,-6.957486814584095125e-01,2.205424027722533986e-01
7.718118487172076492e-03,6.758759108535870429e-04,5.311800955391011714e-01,-2.400061053624270163e-02,1.713707075634119947e-01,5.135322603644095103e-03,9.849008476719164351e-01,-5.883935544749004098e-02,8.474942455648319939e-01,-7.103930778450543437e-01,2.076070241886244505e-01,-5.683586382822915922e-02,8.090833138534597735e-01,-6.478782607030834084e-01,1.835018067656778995e-01
